Year,Year Ending,Local Government Area,Covid-19 cases
2020,December,Greater Geelong (C),369
2020,December,Mornington Peninsula (S),185
2020,December,Port Phillip (C),297
2020,December,Whittlesea (C),1182
2020,December,Casey (C),1063
2020,December,Monash (C),354
2020,December,Melbourne (C),921
2020,December,Glen Eira (C),224
2020,December,Hume (C),1642
2020,December,Bayside (C),269
2020,December,Maribyrnong (C),579
2020,December,Stonnington (C),251
2020,December,Brimbank (C),2030
2020,December,Wyndham (C),2243
2020,December,Frankston (C),241
2020,December,Yarra Ranges (S),252
2020,December,Hobsons Bay (C),517
2020,December,Moonee Valley (C),814
2020,December,Whitehorse (C),207
2020,December,Macedon Ranges (S),58
2020,December,Cardinia (S),207
2020,December,Kingston (C),303
2020,December,Yarra (C),444
2020,December,Interstate,106
2020,December,Maroondah (C),106
2020,December,Banyule (C),451
2020,December,Boroondara (C),267
2020,December,Surf Coast (S),12
2020,December,Hepburn (S),3
2020,December,Warrnambool (C),14
2020,December,Mildura (RC),6
2020,December,Melton (C),1143
2020,December,Greater Dandenong (C),539
2020,December,Darebin (C),673
2020,December,Greater Shepparton (C),52
2020,December,Moreland (C),1052
2020,December,Mitchell (S),94
2020,December,Ballarat (C),57
2020,December,Manningham (C),166
2020,December,East Gippsland (S),8
2020,December,Baw Baw (S),17
2020,December,Knox (C),167
2020,December,Moyne (S),2
2020,December,Mount Alexander (S),9
2020,December,Wellington (S),17
2020,December,South Gippsland (S),14
2020,December,Nillumbik (S),147
2020,December,Greater Bendigo (C),101
2020,December,Wangaratta (RC),2
2020,December,Latrobe (C),54
2020,December,Moira (S),9
2020,December,Bass Coast (S),10
2020,December,Central Goldfields (S),2
2020,December,Moorabool (S),38
2020,December,Gannawarra (S),2
2020,December,Northern Grampians (S),3
2020,December,Loddon (S),5
2020,December,Mansfield (S),10
2020,December,Colac-Otway (S),139
2020,December,Strathbogie (S),2
2020,December,Ararat (RC),8
2020,December,Murrindindi (S),10
2020,December,Southern Grampians (S),2
2020,December,West Wimmera (S),1
2020,December,Campaspe (S),10
2020,December,Unknown,91
2020,December,Wodonga (C),2
2020,December,Horsham (RC),14
2020,December,Golden Plains (S),18
2020,December,Alpine (S),1
2020,December,Swan Hill (RC),6
2020,December,Queenscliffe (B),1
2020,December,Benalla (RC),3
2020,December,Glenelg (S),19
2020,December,Indigo (S),1
2020,December,Corangamite (S),4
2020,December,Pyrenees (S),3
2020,December,Yarriambiack (S),1
